"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"53",8390,907.238342285156,65,32.1666679382324,7.30000019073486,907.238342285156,907.238342285156,0,58.01,1,1.41257851282717e-05,5.45974121093752
"54",8391,941.910430908203,67.6111111111111,29.3796290998106,6.74768505273042,1047.42419433594,756.219543457031,291.204650878906,57.7283333333333,7,1.34837055156822e-05,5.88677368164065
"55",8392,957.624816894531,69.5,30.6249990463257,6.87916660308838,1028.03356933594,887.216064453125,140.817504882812,57.555,2,1.34837055156822e-05,5.88677368164065
"56",8393,742.294903094952,55.4615384615385,26.9294870816744,7.61602566792415,871.123962402344,709.579223632812,161.544738769531,57.5084615384615,9,1.34519155276044e-05,5.84765953650844
"57",8397,694.615936279297,29.5,26.375,7.59166646003723,704.231872558594,685,19.2318725585938,56.65,2,1.46226620927337e-05,6.03350219726565
"58",8557,968.9365234375,93,30.6666660308838,7.29166650772095,968.9365234375,968.9365234375,0,57.38,1,1.38969744511996e-05,6.39522705078127
"59",8560,895.291076660156,58,28.0833339691162,7.28333330154419,895.291076660156,895.291076660156,0,56.88,1,1.34864285428193e-05,6.89925537109377
"60",8726,874.312377929688,55,28.8333339691162,8.10833358764648,874.312377929688,874.312377929688,0,56.35,3,1.34864285428193e-05,6.89925537109377
"61",8889,1254.78078294837,66.0869565217391,28.5289853966754,7.07862317043802,1279.0693359375,1241.31640625,37.7529296875,56.4282608695652,5,1.46291066140174e-05,7.47725564707883
"62",8890,1245.35067224984,67.2626262626263,28.052188738428,6.99149829209453,1303.70434570312,1144.1962890625,159.508056640625,56.168125,11,1.445982070436e-05,7.39162597656252
"63",8891,1108.91333007812,75,27.6666660308838,7.58333349227905,1108.91333007812,1108.91333007812,0,56.13,1,1.445982070436e-05,7.39162597656252
"64",9051,1301.41259765625,94,25.3333339691162,7.13333320617676,1301.41259765625,1301.41259765625,0,56.67,1,1.53388664330123e-05,9.65776977539065
