field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"55","14545","222812",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"56","14545","222813",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"57","14546","189800",-103.250000000000000,29.250000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",8005.269997573795990,-678080.563970359507948,-1229207.217116908635944,-671238.526891852729023,-1225051.392728126607835
"58","14546","94373",-103.250000000000000,29.250000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",8005.269997573795990,-678080.563970359507948,-1229207.217116908635944,-671238.526891852729023,-1225051.392728126607835
"59","14546","96601",-103.043000000000006,29.199000000000002,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",1083.381787211225628,-659191.965367374592461,-1236519.297353002475575,-658253.247535906382836,-1235978.441614616895095
"60","14546","109658",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"61","14546","189794",-103.197999999999993,29.138999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",15642.529927127867268,-674195.296347087947652,-1242312.845161494100466,-663760.186981474398635,-1230659.638090100837871
"62","14545","68016",-103.566000000000003,29.228999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.657589163842204,-707766.730177537188865,-1229306.725011214148253,-701229.867862032959238,-1222345.016087507829070
"63","14546","189805",-103.037000000000006,29.207999999999998,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",127.065018776121732,-658554.623816570383497,-1235528.269062427338213,-658447.244483579066582,-1235460.333815000718459
"64","14545","212184",-103.566000000000003,29.297999999999998,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",3183.264511831383516,-707133.614561966853216,-1221390.908865182660520,-706799.913358638179488,-1218225.183599278796464
"65","14546","200450",-103.322000000000003,29.405999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6156.003189340478457,-683415.649606442078948,-1210785.502475894289091,-680899.233609772520140,-1216403.689532131887972
"66","14546","68005",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"67","14546","189797",-103.117000000000004,29.100000000000001,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",13747.376001329901555,-666959.320120746269822,-1247359.279721714323387,-657412.664152739569545,-1237467.277560854097828
"68","14546","200449",-103.025999999999996,29.161000000000001,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",3487.745009500213655,-657927.505016551469453,-1240997.479438766837120,-657125.064770062570460,-1237603.299876323435456
"69","14546","189801",-103.027000000000001,29.161000000000001,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",3503.587505669030179,-658020.975289328722283,-1240990.538689098320901,-657130.021972620510496,-1237602.127911561634392
"70","14546","222811",-103.200000000000003,29.132999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16305.610956121425261,-674434.637458086246625,-1242986.860198445385322,-663711.219638040172867,-1230703.486927673919126
"71","14546","189802",-103.200000000000003,29.132999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16305.610956121425261,-674434.637458086246625,-1242986.860198445385322,-663711.219638040172867,-1230703.486927673919126
"72","14545","222809",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"73","14379","200421",-103.680999999999997,29.693999999999999,"32574","468638","0",81.590000000000003,02_3789195,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",94399.921602994407294,"1",8714.852392302629596,-714166.865398369845934,-1175065.582812319975346,-705581.459155968623236,-1176562.062639300944284
