fid,field_1,collection_no,lat,lng,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2135","2135","14471",49.3,-110.6,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"1",4565.17790076975,-1000493.49110307,1175044.69734689,-1001210.6635186,1170536.20391869
"2136","2136","206061",49.076,-110.679,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",21790.5823867133,-1009926.55531006,1149853.62093994,-1006549.96841931,1171381.00214902
"2136","2136","206061",49.076,-110.679,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",21790.5823867133,-1009926.55531006,1149853.62093994,-1006549.96841931,1171381.00214902
"2137","2137","45671",49.075,-110.684,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",21911.1749186027,-1010285.95100991,1149790.67977078,-1006549.96841931,1171381.00214902
"2137","2137","45671",49.075,-110.684,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",21911.1749186027,-1010285.95100991,1149790.67977078,-1006549.96841931,1171381.00214902
"2138","2138","146193",49.1,-110.94,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
"2138","2138","146193",49.1,-110.94,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
"2139","2139","14485",50.9,-111.8,"63258","29525","0",12.859999999999999,01_29525,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",20426.334411487259786,"1",6700.16482896669,-1050840.59314063,1373399.21589531,-1057274.63345284,1375268.79713081
"2140","2140","52474",50.6,-111.62,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",12520.0460202854,-1044743.93321055,1336739.61390734,-1052528.17402814,1326933.63882866
"2141","2141","45819",49.159,-110.722,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",12391.9386877775,-1011351.25909878,1159957.00318838,-1006549.96841931,1171381.00214902
"2141","2141","45819",49.159,-110.722,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",12391.9386877775,-1011351.25909878,1159957.00318838,-1006549.96841931,1171381.00214902
"2142","2142","146194",49.1,-110.94,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
"2142","2142","146194",49.1,-110.94,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
"2143","2143","45565",49.098,-110.939,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",26280.906617263,-1027261.63976347,1155203.46455034,-1006549.96841931,1171381.00214902
"2143","2143","45565",49.098,-110.939,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",26280.906617263,-1027261.63976347,1155203.46455034,-1006549.96841931,1171381.00214902
"2144","2144","70052",50.6,-111.62,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",12520.0460202854,-1044743.93321055,1336739.61390734,-1052528.17402814,1326933.63882866
"2145","2145","45566",49.1,-110.94,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
"2145","2145","45566",49.1,-110.94,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",26156.7222421853,-1027292.91345171,1155446.62579356,-1006549.96841931,1171381.00214902
