"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1"
"70",189791,"1 km southwest of Black Gap","Hadrosauridae","family","Hadrosauridae","","Aguja","",3622,0.00999999977648258,938.553161621094,8850.6865234375,30.0000019073486,0.235077157616615,27.0677738189697,19.2522220611572,17750,6.24153326498345e-05,293.847900390625
"71",189792,"3.2 km north of Grapevine Hills","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"72",189793,"south of Glenn Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"73",189794,"WPA Quarry L2, Glenn Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"74",189795,"BB-II-38, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"75",189796,"BB-III-38, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"76",189797,"BB-IV-38, Talley Mountain","Lambeosaurinae","subfamily","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"77",189798,"McKinney Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"78",189799,"AMNH No. 1, Smallpox Spring","Ornithischia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"79",189799,"AMNH No. 1, Smallpox Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"80",189804,"WL 350, E side of Panther Junction-Boquillas Road","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"81",189805,"WL 326, E side of Panther Junction-Boquillas Road","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"82",189805,"WL 326, E side of Panther Junction-Boquillas Road","Kritosaurus","genus","Hadrosauridae","Kritosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"83",189807,"TMM 42334, Dawson Creek","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"84",189808,"TMM 42324, Paint Gap Hills","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"85",189809,"WL 445, Glenn Spring","Hadrosaurinae","subfamily","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"86",189810,"TMM 41917/41918, Mesa de Anguila","Kritosaurus","genus","Hadrosauridae","Kritosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"87",189810,"TMM 41917/41918, Mesa de Anguila","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"88",189811,"TMM 40574, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"89",189812,"TMM 40610, Sierra Aguja (Needle Peak)","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"90",189814,"1.5 miles south of Wax Works (AMNH)","Panoplosaurus","genus","Nodosauridae","Panoplosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"91",189815,"12 miles west of Glenn Springs","Panoplosaurus","genus","Nodosauridae","Panoplosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"92",34827,"Pentaceratops site, Hunter Wash (KU)","Pentaceratops sternbergii","species","Ceratopsidae","Pentaceratops","Kirtland","",3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14866,1.82632702490082e-05,288.248321533203
"93",46991,"UNM V-144","Pentaceratops","genus","Ceratopsidae","Pentaceratops","Kirtland","",3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14866,1.82632702490082e-05,288.248321533203
"94",199764,"Hunter Wash [USNM]","Pentaceratops","genus","Ceratopsidae","Pentaceratops","Kirtland","",3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14866,1.82632702490082e-05,288.248321533203
"95",34744,"Drumheller bone bed, Munson Ferry (80 ft level)","Pachyrhinosaurus","genus","Ceratopsidae","Pachyrhinosaurus","Horseshoe Canyon","",1786,0.949999988079071,865.446166992188,966.711303710938,88.25,0.0730009824037552,31.9535617828369,3.35583186149597,9472,1.04297005236731e-05,273.538543701172
"96",34744,"Drumheller bone bed, Munson Ferry (80 ft level)","Edmontosaurus","genus","Hadrosauridae","Edmontosaurus","Horseshoe Canyon","",1786,0.949999988079071,865.446166992188,966.711303710938,88.25,0.0730009824037552,31.9535617828369,3.35583186149597,9472,1.04297005236731e-05,273.538543701172
"97",34744,"Drumheller bone bed, Munson Ferry (80 ft level)","Albertosaurus","genus","Tyrannosauridae","Albertosaurus","Horseshoe Canyon","",1786,0.949999988079071,865.446166992188,966.711303710938,88.25,0.0730009824037552,31.9535617828369,3.35583186149597,9472,1.04297005236731e-05,273.538543701172
