"","Group.1","cells.1","Camp_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","CampPrecip_1","CampTemp_1","CampTemp"
"50",2703,2703,0.419999986886978,2100.97534179688,9148.08203125,61.7500038146973,0.0543233528733253,26.7022533416748,6.21425151824951,14151,2.23317474592477e-05,286.701568603516,13.5515686035156
"51",2784,2784,0.370000004768372,1686.39807128906,8265.55078125,15.75,0.10122462362051,24.2819671630859,7.87432193756104,14148.5,2.68689391305088e-05,287.784225463867,14.6342254638672
"52",2785,2785,0.200000002980232,2214.31201171875,8622.9560546875,66.7500152587891,0.088540717959404,24.2325057983398,8.89337062835693,14509,2.64423943008296e-05,288.416229248047,15.2662292480469
"53",2787,2787,0.0199999995529652,2035.20959472656,3285.78076171875,93.5000076293945,0.326561510562897,34.933650970459,4.31625461578369,14512,2.16020489460789e-05,287.019592285156,13.8695922851563
"54",2819,2819,0.150000005960464,1,142.852722167969,82.2500076293945,NA,93.8633422851562,12.4144811630249,17785,7.52663909224793e-05,292.690490722656,19.5404907226563
"55",2866,2866,0.0799999982118607,2694.1162109375,7095.93505859375,61.7499961853027,0.23769411444664,24.0478782653809,7.93800020217896,14507,3.13901909976266e-05,289.119049072266,15.9690490722656
"56",2867,2867,0.159999996423721,1656.35046386719,9693.44140625,16.5,0.149782761931419,18.4557437896729,10.646110534668,14687,3.113882667094e-05,289.523651123047,16.3736511230469
"57",2870,2870,0.340000003576279,2922.67016601562,2631.52099609375,96,0.277188092470169,39.5235366821289,3.79647636413574,14871,2.36282685364131e-05,288.328002929688,15.1780029296875
"58",2948,2948,0.159999996423721,2259.53515625,7885.1376953125,73.5000076293945,0.179385110735893,28.6013126373291,8.68640232086182,14745.3333333333,3.50119492698771e-05,290.100402832031,16.9504028320313
"59",2949,2949,0.649999976158142,1858.56628417969,9530.859375,32.2500076293945,0.239680424332619,22.8634128570557,9.43971252441406,14866.5,3.1935809602146e-05,290.093246459961,16.943246459961
"60",2950,2950,0.370000004768372,1445.58374023438,9545.5712890625,11.7500019073486,0.138278499245644,18.8949184417725,11.5647773742676,14868,2.87907696474576e-05,289.598266601562,16.4482666015625
"61",3035,3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,15300.8,2.76968723483151e-05,290.301031494141,17.1510314941406
"62",3036,3036,0.980000019073486,1976.37182617188,7051.30322265625,29,0.321805000305176,32.5428237915039,8.47455501556396,15410,2.57097808571416e-05,290.097808837891,16.9478088378906
"63",3038,3038,0.0900000035762787,3278.63940429688,4977.2177734375,68.75,0.253180921077728,36.8412094116211,6.76882648468018,15952,2.47576554102125e-05,290.604888916016,17.4548889160156
"64",3118,3118,0.589999973773956,2084.53662109375,9421.7548828125,39.9999923706055,0.0810595899820328,25.3082275390625,9.20312786102295,15948.5,2.80149861282553e-05,291.837539672852,18.6875396728516
"65",3119,3119,0.740000009536743,2055.09619140625,9073.140625,17.4999980926514,0.0128282811492682,26.2737159729004,9.53163146972656,15709.6666666667,2.64795119922686e-05,290.952707926432,17.8027079264323
"66",3120,3120,0.129999995231628,1859.93310546875,7809.84326171875,30.7499980926514,0.20651239156723,31.6836776733398,9.59702682495117,15770.5,2.57480260188458e-05,290.765701293945,17.6157012939453
"67",3230,3230,0.239999994635582,43.5821723937988,6.25027275085449,96.5,NA,101.045669555664,16.729040145874,19218,4.74404187116306e-05,297.671203613281,24.5212036132813
"68",3231,3231,0.949999988079071,36,6.82846021652222,95,NA,107.001747131348,16.8338871002197,19219,5.04781855852343e-05,297.720611572266,24.5706115722656
"69",3285,3285,0,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,3.1469804525841e-05,292.318115234375,19.168115234375
"70",3304,3304,0.889999985694885,59.962890625,79.8534164428711,94,0.0101879285648465,121.003311157227,16.5679874420166,18850,5.55223705305252e-05,289.551300048828,16.4013000488281
"71",3364,3364,0,630.725341796875,9257.1982421875,28.2499980926514,0.175808608531952,27.3803215026855,19.8243789672852,16665,3.00109732052078e-05,294.154113769531,21.0041137695313
"72",3388,3388,0.769999980926514,67.1269912719727,22.5494041442871,91.75,0.0280732233077288,120.427833557129,17.4878330230713,18849,6.13180745858699e-05,287.687072753906,14.5370727539063
"73",3448,3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024.5,2.78989318758249e-05,295.347305297852,22.1973052978516
"74",3449,3449,0.389999985694885,1466.15307617188,9143.5751953125,40,0.0950531885027885,33.8861999511719,16.2661552429199,17025.5,2.91151654892019e-05,294.789901733398,21.6399017333985
"75",3450,3450,0.569999992847443,1367.90539550781,9399.5146484375,49.9999961853027,0.00612398330122232,28.4627990722656,15.8797626495361,17027,3.04271252389299e-05,294.432525634766,21.2825256347656
"76",3526,3526,0.140000000596046,886.156372070312,5940.7060546875,37.75,NA,15.3683404922485,17.3562526702881,18462,2.5190667656716e-05,297.991271972656,24.8412719726563
"77",3620,3620,0.319999992847443,814.048522949219,9974.1611328125,13.5000009536743,0.0918140634894371,28.086217880249,18.1450500488281,18471,4.47398597316351e-05,297.648162841797,24.4981628417969
"78",3621,3621,0.46000000834465,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,18110.2,4.13261623180006e-05,296.798687744141,23.6486877441407
"79",3622,3622,0.00999999977648258,938.553161621094,8850.6865234375,30.0000019073486,0.235077157616615,27.0677738189697,19.2522220611572,17750,3.79901357518975e-05,295.881134033203,22.7311340332031
