FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
197,198,Hadrosauridae,Middle Campanian,-109.66333000,46.40000200,-78.03050095,51.19138758
198,199,Hadrosauridae,Middle Campanian,-109.50000000,49.09999800,-76.82128722,53.79148751
199,200,Hadrosauridae,Middle Campanian,-108.94766200,47.77220900,-76.75297421,52.41467995
200,201,Hadrosauridae,Middle Campanian,-109.59166700,46.24222200,-78.01043338,51.02650823
201,202,Hadrosauridae,Middle Campanian,-109.59166700,46.24222200,-78.01043338,51.02650823
202,203,Hadrosauridae,Middle Campanian,-109.98666400,48.56778000,-77.55881706,53.35095477
203,204,Hadrosauridae,Middle Campanian,-109.63655100,47.71871200,-77.51241300,52.47078038
204,205,Hadrosauridae,Middle Campanian,-107.77833600,48.56222200,-75.19315982,52.99705364
205,206,Hadrosauridae,Middle Campanian,-107.89504200,48.59629400,-75.30413860,53.04869080
206,207,Hadrosauridae,Middle Campanian,-107.83333600,50.50000000,-74.44231357,54.88412615
207,208,Hadrosauridae,Middle Campanian,-110.10519400,48.65572000,-77.65164400,53.45493608
208,209,Hadrosauridae,Middle Campanian,-109.67548400,48.61456300,-77.20526569,53.34765878
209,210,Hadrosauridae,Middle Campanian,-111.62999700,45.82000000,-80.29962392,50.91454001
210,211,Hadrosauridae,Middle Campanian,-109.66506200,47.94311500,-77.45693050,52.69346070
211,212,Hadrosauridae,Middle Campanian,-109.67548400,48.61456300,-77.20526569,53.34765878
212,213,Hadrosauridae,Middle Campanian,-104.03439300,45.32578700,-72.44846002,49.25038462
213,214,Hadrosauridae,Middle Campanian,-109.51008600,46.28247100,-77.90860541,51.05299605
214,215,Hadrosauridae,Middle Campanian,-109.31783300,46.28562900,-77.70163374,51.02605210
215,216,Hadrosauridae,Middle Campanian,-104.47374700,45.52338800,-72.83943459,49.51372230
216,217,Hadrosauridae,Middle Campanian,-109.51008600,46.28247100,-77.90860541,51.05299605
217,218,Hadrosauridae,Middle Campanian,-108.00109900,46.76002500,-76.12260317,51.28090721
218,219,Hadrosauridae,Middle Campanian,-108.00109900,46.76002500,-76.12260317,51.28090721
219,220,Hadrosauridae,Middle Campanian,-108.00109900,46.76002500,-76.12260317,51.28090721
220,221,Hadrosauridae,Middle Campanian,-107.73823500,48.57233800,-75.14631865,53.00049031
221,222,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
222,223,Hadrosauridae,Middle Campanian,-108.93840000,39.36750000,-79.48704902,44.18688095
223,224,Hadrosauridae,Middle Campanian,-108.66702300,35.39835700,-80.22013799,40.24909168
224,225,Hadrosauridae,Middle Campanian,-110.71945200,49.16178900,-78.11166051,54.04239211
225,226,Hadrosauridae,Middle Campanian,-110.70282000,49.07584400,-78.12847264,53.95632596
226,227,Hadrosauridae,Middle Campanian,-112.20555900,49.28638800,-79.67381216,54.39350186
227,228,Hadrosauridae,Middle Campanian,-111.62000300,50.59999800,-78.48624388,55.57813722
228,229,Hadrosauridae,Middle Campanian,-111.62000300,50.59999800,-78.48624388,55.57813722
229,230,Hadrosauridae,Middle Campanian,-111.62000300,50.59999800,-78.48624388,55.57813722
230,231,Hadrosauridae,Middle Campanian,-111.51153600,50.75238400,-78.30193460,55.70900902
231,232,Hadrosauridae,Middle Campanian,-110.93898800,49.09802200,-78.37502573,54.01461830
232,233,Hadrosauridae,Middle Campanian,-110.93966700,49.10004800,-78.37494206,54.01669192
233,234,Hadrosauridae,Middle Campanian,-110.94104000,49.10184900,-78.37570051,54.01865486
234,235,Hadrosauridae,Middle Campanian,-110.84006500,49.08196300,-78.27445520,53.98363442
235,236,Hadrosauridae,Middle Campanian,-110.84845700,49.13797000,-78.26088236,54.03934214
236,237,Hadrosauridae,Middle Campanian,-111.53141800,50.75544000,-78.32224349,55.71506354
237,238,Hadrosauridae,Middle Campanian,-111.32196800,50.82914000,-78.06209161,55.75388634
238,239,Hadrosauridae,Middle Campanian,-111.52387200,50.76500700,-78.30985282,55.72316325
239,240,Hadrosauridae,Middle Campanian,-110.91010300,50.64355100,-77.69566141,55.50975213
240,241,Hadrosauridae,Middle Campanian,-110.07540900,50.73262000,-76.75246280,55.46513497
241,242,Hadrosauridae,Middle Campanian,-110.08892100,50.73003000,-76.76821118,55.46475286
242,243,Hadrosauridae,Middle Campanian,-111.40825700,50.75122100,-78.19004991,55.69181006
243,244,Hadrosauridae,Middle Campanian,-111.14399700,50.85879900,-77.85556553,55.75486927
244,245,Hadrosauridae,Middle Campanian,-106.88210300,47.65420200,-74.59498258,51.97239968
245,246,Hadrosauridae,Middle Campanian,-108.97583000,41.76944400,-78.82399142,46.56387875
246,247,Hadrosauridae,Middle Campanian,-112.18277700,47.81250000,-80.22601821,52.95627862
247,248,Hadrosauridae,Middle Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
248,249,Hadrosauridae,Middle Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
249,250,Hadrosauridae,Middle Campanian,-112.70111800,48.47920200,-80.45931048,53.66990526
250,251,Hadrosauridae,Middle Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
251,252,Hadrosauridae,Middle Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
252,253,Hadrosauridae,Middle Campanian,-112.18277700,47.81250000,-80.22601821,52.95627862
253,254,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
254,255,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
255,256,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
256,257,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
257,258,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
258,259,Hadrosauridae,Middle Campanian,-112.64201400,48.91082000,-80.22169531,54.08001812
259,260,Hadrosauridae,Middle Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
260,261,Hadrosauridae,Middle Campanian,-112.19999700,49.28305400,-79.66910695,54.38940634
261,262,Hadrosauridae,Middle Campanian,-112.58338900,48.48303200,-80.32979374,53.65523924
262,263,Hadrosauridae,Middle Campanian,-112.47000100,48.46361200,-80.21430646,53.61863865
263,264,Hadrosauridae,Middle Campanian,-112.58283200,47.63467800,-80.66022971,52.83024995
264,265,Hadrosauridae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
265,266,Hadrosauridae,Middle Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
266,267,Hadrosauridae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
267,268,Hadrosauridae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
268,269,Hadrosauridae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
269,270,Hadrosauridae,Middle Campanian,-112.73194100,48.73694200,-80.38978440,53.92516778
270,271,Hadrosauridae,Middle Campanian,-112.45194200,48.46694600,-80.19336249,53.61905337
271,272,Hadrosauridae,Middle Campanian,-112.33528100,48.30194500,-80.20447859,53.45605835
272,273,Hadrosauridae,Middle Campanian,-112.33528100,48.30194500,-80.20447859,53.45605835
273,274,Hadrosauridae,Middle Campanian,-112.65065800,48.93796500,-80.22008251,54.10773480
