FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
190,191,Ceratopsidae,Late Maastrichtian,-106.92472100,47.58361100,-79.59120941,53.30523901
191,192,Ceratopsidae,Late Maastrichtian,-106.27693900,47.65388900,-78.85464426,53.26410905
192,193,Ceratopsidae,Late Maastrichtian,-103.96060200,46.42089800,-76.85168715,51.67551835
193,194,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
194,195,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
195,196,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
196,197,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
197,198,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
198,199,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
199,200,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
200,201,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
201,202,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
202,203,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
203,204,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
204,205,Ceratopsidae,Late Maastrichtian,-103.50222000,46.41305500,-76.36184167,51.58904262
205,206,Ceratopsidae,Late Maastrichtian,-103.98149900,46.30500000,-76.92063645,51.56685462
206,207,Ceratopsidae,Late Maastrichtian,-106.09999800,47.79999900,-78.60026346,53.37557407
207,208,Ceratopsidae,Late Maastrichtian,-104.89138800,45.73014500,-78.12813306,51.16515704
208,209,Ceratopsidae,Late Maastrichtian,-103.56092800,45.71346300,-76.70229764,50.92144227
209,210,Ceratopsidae,Late Maastrichtian,-106.18611100,47.62389000,-78.76823373,53.21970952
210,211,Ceratopsidae,Late Maastrichtian,-107.00000000,47.59999800,-79.66668932,53.33375329
211,212,Ceratopsidae,Late Maastrichtian,-104.02111100,46.46638900,-76.89854730,51.72996555
212,213,Ceratopsidae,Late Maastrichtian,-106.25833100,47.73583200,-78.79990890,53.34027734
213,214,Ceratopsidae,Late Maastrichtian,-107.08300000,47.53620100,-79.78402924,53.28588994
214,215,Ceratopsidae,Late Maastrichtian,-103.96170000,45.94879900,-77.04067421,51.21834731
215,216,Ceratopsidae,Late Maastrichtian,-103.96170000,45.94879900,-77.04067421,51.21834731
216,217,Ceratopsidae,Late Maastrichtian,-103.96170000,45.94879900,-77.04067421,51.21834731
217,218,Ceratopsidae,Late Maastrichtian,-103.75389900,45.97769900,-76.80582751,51.21067764
218,219,Ceratopsidae,Late Maastrichtian,-103.75389900,46.00659900,-76.79441399,51.23867974
219,220,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
220,221,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
221,222,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
222,223,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
223,224,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
224,225,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
225,226,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
226,227,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
227,228,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
228,229,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
229,230,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
230,231,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
231,232,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
232,233,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
