collection_no,siteID,bin_assignment,lat,lng,Distance
45878,9896,teyen,43.442,-104.412,1560.433592
45879,9064,teyen,45.55,-105.115,2473.949696
45892,7891,teyeq,49.076,-110.701,2184.445457
45892,7891,teyeq,49.076,-110.701,2184.445457
45893,7891,teyeq,49.074,-110.716,2217.499589
45893,7891,teyeq,49.074,-110.716,2217.499589
45894,7891,teyeq,49.076,-110.703,2185.456862
45894,7891,teyeq,49.076,-110.703,2185.456862
45897,7891,teyeq,49.187,-110.732,947.4209683
45897,7891,teyeq,49.187,-110.732,947.4209683
45898,7891,teyeq,49.194,-110.734,877.9747034
45898,7891,teyeq,49.194,-110.734,877.9747034
45899,7891,teyeq,49.073,-110.659,2214.199893
46090,6056,teyen,54.86,-115.463,980.9753459
46091,6056,teyen,54.86,-115.437,819.883965
46093,6056,teyen,54.904,-115.463,1029.015859
46119,10228,teyen,42.196,-104.457,93.46599553
46120,10060,teyeo,42.584,-105.394,111.3005487
46121,8391,teyep,47.74,-109.619,4719.205579
46122,8393,teyep,47.772,-108.947,1678.267549
46123,8393,teyep,47.899,-109,1943.628243
46124,8391,teyep,47.736,-109.618,4705.343037
46125,10060,teyeo,42.584,-105.394,111.3005487
46126,9895,teyeo,43.122,-104.647,478.4622519
46127,9895,teyeo,43.121,-104.645,462.7973996
46128,9895,teyen,43.166,-104.911,1476.017331
46129,9895,teyeo,43.144,-104.911,1243.714782
46130,9895,teyeo,43.238,-104.608,1835.143478
46131,9895,teyen,43.158,-104.553,1055.324236
46132,9895,teyen,43.192,-104.644,1290.048413
46133,9895,teyeo,43.228,-104.572,1764.064005
46134,9895,teyen,43.231,-104.649,1752.589074
46135,9895,teyen,43.238,-104.628,1828.381319
46136,9895,teyen,43.181,-104.551,1298.225804
46138,9895,teyeo,43.179,-104.605,1145.313432
46139,11056,teyen,39.731,-105.042,63.03509818
46209,9895,teyen,43.27,-104.591,2225.243321
46210,10725,teyeo,40.908,-104.762,285.2838345
46211,11389,teyeo,38.861,-104.655,74.38856855
46317,7391,teyep,50.806,-111.628,2056.713268
46318,7391,teyep,50.791,-111.61,2168.236046
46319,7391,teyep,50.806,-111.624,2083.375439
46332,7392,teyep,50.749,-111.472,3127.085925
46333,7392,teyep,50.75,-111.489,3012.694552
46335,7391,teyep,50.807,-111.597,2264.419489
46351,7057,teyeo,51.543,-112.866,938.148717
46358,7392,teyep,50.742,-111.488,3034.560476
46359,7391,teyep,50.688,-111.617,2119.07813
46436,7887,teyeo,49.026,-112.966,1196.803382
46951,7391,teyep,50.747,-111.505,2912.293151
46952,7391,teyep,50.74,-111.515,2861.154481
46953,7392,teyep,50.737,-111.492,3019.190264
46954,7392,teyep,50.742,-111.489,3027.965935
46956,7557,teyep,50.131,-111.694,2705.732916
46957,7392,teyep,50.765,-111.414,3492.039469
46958,7394,teyep,50.757,-110.017,302.4564649
46984,12212,teyep,36.257,-108.173,572.2924535
46984,12212,teyep,36.257,-108.173,572.2924535
46985,12212,teyep,36.257,-108.263,73.20532059
46986,12212,teyep,36.271,-108.245,226.324389
46989,12212,teyep,36.271,-108.227,379.3381667
46990,12212,teyep,36.184,-108.209,326.7533555
46991,12212,teyep,36.344,-108.084,1423.959134
46992,12212,teyeo,36.315,-108.031,1784.424517
46993,12212,teyep,36.344,-108.084,1423.959134
46994,12212,teyep,36.344,-108.102,1271.108968
46995,12213,teyep,36.155,-107.924,1939.34799
46996,12213,teyep,36.155,-107.941,1795.122826
47008,12213,teyeo,36.169,-107.959,1633.639052
47009,12212,teyep,36.286,-108.102,1139.692807
47010,12212,teyeo,36.344,-108.102,1271.108968
47011,12212,teyep,36.271,-108.227,379.3381667
47012,12212,teyep,36.271,-108.245,226.324389
47013,12212,teyep,36.3,-108.191,627.0051239
47013,12212,teyep,36.3,-108.191,627.0051239
47014,12212,teyep,36.315,-108.173,700.5485186
47015,12046,teyeo,36.683,-108.266,362.1879877
47016,12212,teyeo,36.315,-108.031,1784.424517
47017,12212,teyeo,36.315,-108.013,1664.587426
47018,12380,teyeo,35.966,-107.478,2713.389925
47034,9071,teyen,45.531,-101.626,1444.014112
47101,8220,teyeq,48.472,-112.358,1686.620012
47127,7056,teyen,51.892,-113.005,1548.960545
47128,7056,teyen,51.906,-113.029,1391.29197
47130,7057,teyen,51.913,-112.961,1570.146498
47189,12212,teyep,36.344,-108.084,1423.959134
47193,12212,teyep,36.104,-108.088,852.3689355
47194,7718,teyep,49.578,-114.242,38.87886212
47195,12212,teyep,36.344,-108.084,1423.959134
47201,12212,teyep,36.5,-108.083,1080.909697
47626,8398,teyen,47.877,-106.198,205.336413
47627,9065,teyen,45.755,-104.953,3395.84993
47627,9065,teyen,45.755,-104.953,3395.84993
47628,9072,teyen,45.668,-101.481,878.6690886
47629,7560,teyep,50.408,-110.291,1175.835149
47784,7391,teyep,50.791,-111.624,2074.508042
47791,7392,teyep,50.764,-111.375,3740.843312
47793,7392,teyep,50.75,-111.463,3185.091028
47794,7391,teyeq,50.755,-111.531,2725.77934
47795,7392,teyeq,50.829,-111.322,3966.717362
47807,7391,teyep,50.767,-111.515,2815.961444
47809,7391,teyeq,50.765,-111.524,2758.152401
47811,7391,teyep,50.75,-111.507,2893.465979
47812,7391,teyep,50.749,-111.525,2776.252498
47814,7391,teyep,50.812,-111.578,2386.198367
47816,7392,teyep,50.75,-111.475,3105.499149
