"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"95",292581,2259.58813476562,76,32.9166679382324,7.16666650772095,2259.58813476562,2259.58813476562,0,3,0,0,0
"96",293419,2175.04296875,36,25.3333339691162,6.89166688919067,2175.04296875,2175.04296875,0,1,0,0,0
"97",293420,1959.60827636719,27,21.8333339691162,8.69999980926514,1959.60827636719,1959.60827636719,0,5,0,0,0
"98",294242,2715.18061065674,90.359375,42.0325508117676,3.93554692715406,2758.12719726562,2691.08862304688,67.03857421875,2,0,0,0
"99",294248,2477.67236328125,67,33.5833320617676,4.78333330154419,2477.67236328125,2477.67236328125,0,1,0,0,0
"100",294251,2104.51025390625,43,24.25,7.69999980926514,2104.51025390625,2104.51025390625,0,1,0,0,0
"101",294253,2135.82250976562,47.8,24.5,8.05999965667725,2137.455078125,2134.73413085938,2.720947265625,3,0,0,0.0299999993294477
"102",294254,1894.30004882812,45,21.8333339691162,9.10833358764648,1894.30004882812,1894.30004882812,0,1,0,0,0
"103",294257,1591.15014648438,12,16,12.341667175293,1591.15014648438,1591.15014648438,0,5,0,0,0
"104",295066,1997.69396972656,66,34.6666679382324,8.16666603088379,1997.69396972656,1997.69396972656,0,2,0,0,0
"105",295085,1973.37512207031,36,21.75,9.69166660308838,1973.37512207031,1973.37512207031,0,1,0,0,0
"106",296723,1156.86901855469,27,22.6666660308838,14.408332824707,1156.86901855469,1156.86901855469,0,1,0,0,0
"107",296742,1615.37902832031,19,20.25,11.8333330154419,1615.37902832031,1615.37902832031,0,1,0,0,0
"108",296745,1520.96960449219,13,17.1666660308838,12.966667175293,1520.96960449219,1520.96960449219,0,1,0,0,0
"109",297574,1498.44909667969,9,17.75,13.1083335876465,1498.44909667969,1498.44909667969,0,1,0,0,0
"110",297577,1188.54577636719,10,13.25,15.3666667938232,1188.54577636719,1188.54577636719,0,1,0,0,0
"111",306739,1809.28442382812,10,18.1666660308838,10.6916666030884,1809.28442382812,1809.28442382812,0,3,1,1,1
"112",309239,1902.49743652344,15,21.25,10.6916666030884,1902.49743652344,1902.49743652344,0,2,0.419999986886978,1,1
"113",311715,2217.1923828125,50,32.25,8.39166641235352,2217.1923828125,2217.1923828125,0,1,0,0,0
"114",311724,2079.50170898438,13,21.8333339691162,9.66666698455811,2079.50170898438,2079.50170898438,0,1,0.529999971389771,0.639999985694885,0.639999985694885
"115",312544,2202.0673828125,43,31.1666660308838,8.25833320617676,2202.0673828125,2202.0673828125,0,1,0,0,0
"116",312561,1766.04113769531,13,23.25,12.2749996185303,1766.04113769531,1766.04113769531,0,5,0,0,0
"117",328479,66.2761535644531,92,114.75,16.8666667938232,66.2761535644531,66.2761535644531,0,1,0,0,0
