"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"192",227954,715.388793945312,79,36.1666679382324,7.15833330154419,715.388793945312,715.388793945312,0,1,0.990000009536743,0.990000009536743,0.990000009536743
"193",228745,1095.69262695312,66,29.1666660308838,7.55000019073486,1095.69262695312,1095.69262695312,0,1,0,0,0
"194",228759,1101.75574840199,77.3636363636364,30.7803036082875,7.48030294071544,1108.31616210938,1036.15161132812,72.16455078125,3,0.569999992847443,1,1
"195",228762,1033.23706054688,78,32.75,7.26666641235352,1033.23706054688,1033.23706054688,0,2,0.949999988079071,0.949999988079071,0.949999988079071
"196",228763,1097.47204589844,59,34.5,7.17499971389771,1097.47204589844,1097.47204589844,0,1,0.990000009536743,0.990000009536743,0.990000009536743
"197",228767,926.834045410156,87,32.9166679382324,7.15000009536743,926.834045410156,926.834045410156,0,1,0.980000019073486,0.980000019073486,0.980000019073486
"198",228770,936.745910644531,88,33.25,7.125,936.745910644531,936.745910644531,0,2,0.159999996423721,0.159999996423721,0.159999996423721
"199",229577,944.236328125,90,28.75,7.85833358764648,944.236328125,944.236328125,0,1,0,0,0
"200",229578,972.844482421875,85,28.8333339691162,7.81666660308838,972.844482421875,972.844482421875,0,1,0.219999998807907,0.219999998807907,0.219999998807907
"201",229591,1049.46472167969,75.5,32.1249990463257,7.10416674613953,1055.5439453125,1043.38549804688,12.158447265625,2,0.680000007152557,0.889999985694885,0.889999985694885
"202",229593,1079.82983398438,63,35.9166679382324,7.29166650772095,1079.82983398438,1079.82983398438,0,1,0.779999971389771,0.790000021457672,0.790000021457672
"203",229594,1068.89892578125,79,35,7.43333339691162,1068.89892578125,1068.89892578125,0,1,0.939999997615814,0.939999997615814,0.939999997615814
"204",230428,899.423522949219,73,35.4166679382324,7.17499971389771,899.423522949219,899.423522949219,0,1,0.970000028610229,0.970000028610229,0.970000028610229
"205",231199,1340.61340332031,43,28,7.16666650772095,1340.61340332031,1340.61340332031,0,1,0,0,0
"206",231241,1213.14709472656,84,31.6666660308838,7.375,1213.14709472656,1213.14709472656,0,1,1,1,1
"207",231266,762,82,32.4166679382324,7.375,762,762,0,1,0.800000011920929,0.800000011920929,0.800000011920929
"208",232032,1422.05798339844,39,22.9166660308838,6.78333330154419,1422.05798339844,1422.05798339844,0,1,0.100000001490116,0.239999994635582,0.400000005960464
"209",232086,993.646423339844,81,46.9166679382324,7.28333330154419,993.646423339844,993.646423339844,0,1,0.280000001192093,0.579999983310699,0.579999983310699
"210",232089,936.190760119208,74.6034482758621,44.1896539885422,7.46810335126416,937.037353515625,919.388427734375,17.64892578125,7,0.819999992847443,0.839999973773956,0.839999973773956
"211",232092,850.832275390625,80,33.5,7.27500009536743,850.832275390625,850.832275390625,0,1,0.910000026226044,0.939999997615814,0.939999997615814
"212",232099,763.618225097656,78,33.4166679382324,7.375,763.618225097656,763.618225097656,0,1,0.939999997615814,0.939999997615814,0.939999997615814
"213",232100,753.727478027344,87,34.25,7.41666650772095,753.727478027344,753.727478027344,0,1,1,1,1
"214",232101,757.509033203125,94,35.0833320617676,7.40000009536743,757.509033203125,757.509033203125,0,1,1,1,1
"215",232844,2191.93115234375,84,51.1666679382324,2.35833334922791,2191.93115234375,2191.93115234375,0,1,0.0199999995529652,0.0199999995529652,0.189999997615814
"216",232862,1456.54541015625,21,22,6.80833339691162,1456.54541015625,1456.54541015625,0,1,0.150000005960464,0.150000005960464,0.400000005960464
